"PCD 32105 - ESTAÇÃO: Assis Brasil/AC, Latitude: -10.938, Longitude: -69.567, Altitude:",,,,,,,,,,
DataHora (GMT),Bateria (Volts ),CorrPSol (Logico ),LgcTsol (Logico ),NivRegua (m ),Pluvio (mm ),Pluvio24H12GMT (mm ),SPressao (cm ),TempAgua (oC ),TempInt (oC ),UmidInt (% )
2007-12-31 23:00:00,,,,,56,,0,,,
2007-12-31 22:00:00,13.1,58,0,0,56,5,0,12.3,37,28
2007-12-31 21:00:00,13.1,40,0,0,56,5,0,10.8,39,49
2007-12-31 20:00:00,,,,,56,,0,,,
2007-12-31 19:00:00,13.1,45,0,0,56,5,0,12.1,38,31
2007-12-31 18:00:00,,,,,56,,0,,,
2007-12-31 17:00:00,13.1,53,0,0,56,5,0,12.1,37,27
2007-12-31 16:00:00,,,,,56,,0,,,
2007-12-31 15:00:00,,,,,56,,0,,,
2007-12-31 14:00:00,13.1,68,0,0,56,5,0,5.6,35,1
2007-12-31 13:00:00,,,,,56,,0,,,
2007-12-31 12:00:00,,,,,56,,0,,,
2007-12-31 11:00:00,,,,,56,,0,,,
2007-12-31 10:00:00,12.6,0,1,0,56,0,0,4.8,25,53
2007-12-31 09:00:00,,,,,56,,0,,,
2007-12-31 08:00:00,12.6,0,1,0,56,0,0,4.8,25,52
2007-12-31 07:00:00,,,,,56,,0,,,
2007-12-31 06:00:00,12.6,0,1,26,56,0,0,4.8,25,47
2007-12-31 05:00:00,12.7,0,1,26,56,0,0,4.8,24,15
2007-12-31 04:00:00,12.7,0,1,26,56,0,0,4.8,24,15
2007-12-31 03:00:00,12.7,0,1,26,56,0,0,4.8,24,60
2007-12-31 02:00:00,,,,,56,,0,,,
2007-12-31 01:00:00,,,,,56,,0,,,
2007-12-31 00:00:00,,,,,56,,0,,,
2007-12-30 23:00:00,12.8,1,1,26,56,0,0,4.8,27,19
2007-12-30 22:00:00,,,,,56,,0,,,
2007-12-30 21:00:00,13.2,45,0,26,54,0,0,4.8,32,15
2007-12-30 20:00:00,13.1,43,0,26,54,0,0,4.8,32,6
2007-12-30 19:00:00,,,,,51,,0,,,
2007-12-30 18:00:00,13.1,56,0,26,51,0,0,5.2,35,18
2007-12-30 17:00:00,13.1,50,0,26,51,0,0,8.1,38,30
2007-12-30 16:00:00,13.1,56,0,26,51,0,0,4.1,36,50
2007-12-30 15:00:00,,,,,51,,0,,,
2007-12-30 14:00:00,13,50,0,26,51,0,0,14.6,33,1
2007-12-30 13:00:00,,,,,51,,0,,,
2007-12-30 12:00:00,,,,,51,,0,,,
2007-12-30 11:00:00,,,,,51,,0,,,
2007-12-30 10:00:00,,,,,51,,0,,,
2007-12-30 09:00:00,,,,,51,,0,,,
2007-12-30 08:00:00,12.6,0,1,0,51,1,0,4.8,27,11
2007-12-30 07:00:00,,,,,51,,0,,,
2007-12-30 06:00:00,12.6,0,1,0,51,1,0,4.8,26,20
2007-12-30 05:00:00,12.7,0,1,0,51,1,0,4.8,26,33
2007-12-30 04:00:00,12.7,0,1,0,51,1,0,4.8,26,33
2007-12-30 03:00:00,12.7,0,1,0,51,1,0,4.8,27,60
2007-12-30 02:00:00,12.7,0,1,0,51,1,0,4.8,29,14
2007-12-30 01:00:00,,,,,51,,0,,,
2007-12-30 00:00:00,,,,,51,,0,,,
2007-12-29 23:00:00,,,,,51,,0,,,
2007-12-29 22:00:00,13,46,0,0,51,1,0,8.4,40,49
2007-12-29 21:00:00,13,43,0,0,51,1,0,8.5,41,38
2007-12-29 20:00:00,,,,,51,,0,,,
2007-12-29 19:00:00,,,,,51,,0,,,
2007-12-29 18:00:00,13.1,54,0,0,51,1,0,12.1,38,31
2007-12-29 17:00:00,13.1,57,0,0,51,1,0,12.3,37,57
2007-12-29 16:00:00,,,,,51,,0,,,
2007-12-29 15:00:00,13.1,67,0,0,51,1,0,15.2,34,37
